fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-51844797-23,2023-05-07T20:30:00,2023-05-07,2030,,,Pigüé,Buenos Aires,En vuelo,"Accidente | LOC-I (Loss of control - inflight) | Non-Commercial Operations / Flight Training/Instructional / Other | Pigüé, Buenos Aires",LOC-I (Loss of control - inflight),Operacion,,LV-YHT,,,,,,-37.60611,-62.38194,0,0,Critico
JST,JST-RAW-58462912-23,2023-05-12T18:38:00,2023-05-12,1838,,,San Fernando,Buenos Aires,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction), FUEL (Fuel related) | Commercial Air Transport / Non-Scheduled / Air Ambulance | San Fernando, Buenos Aires","SCF-PP (Powerplant failure or malfunction), FUEL (Fuel related)",Tecnico,,LV-FUK,,,,,,-34.455,-58.59138,0,0,Alto
JST,JST-RAW-58147231-23,2023-05-22T10:53:00,2023-05-22,1053,,,Ministro Pistarini -Ezeiza (SAEZ),Buenos Aires,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Commercial Air Transport / Scheduled / Airline (internacional) | Ministro Pistarini -Ezeiza (SAEZ), Buenos Aires",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,N78008,,,,,,-34.81722,-58.53861,0,0,Alto
JST,JST-RAW-67901159-23,2023-06-10T15:30:00,2023-06-10,1530,,,Isla Martin Garcia,Buenos Aires,Aterrizaje,"Accidente | ARC (Abnormal runway contact), SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Flight Training/Instructional / Other | Isla Martin Garcia, Buenos Aires","ARC (Abnormal runway contact), SCF-NP (System/component failure or malfunction (No Powerplant)",Pista,,LV-LPI,,,,,,-34.18222,-58.24972,0,0,Alto
JST,JST-RAW-71384627-23,2023-06-11T20:30:00,2023-06-11,2030,,,General Villegas,Buenos Aires,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Pleasure / Otros | General Villegas, Buenos Aires",ARC (Abnormal runway contact),Pista,,LV-LMG,,,,,,-34.97722,-61.02083,0,0,Alto
JST,JST-RAW-70581035-23,2023-06-18T21:00:00,2023-06-18,2100,,,San Carlos de Bolívar,Buenos Aires,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Pleasure / Local | San Carlos de Bolívar, Buenos Aires",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-KBH,,,,,,-36.24111,-61.14111,0,0,Alto
JST,JST-RAW-74578608-23,2023-06-28T19:00:00,2023-06-28,1900,,,Gualeguay,Entre Rios,Ascenso inicial,"Accidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Otros | Gualeguay, Entre Rios",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-JQA,,,,,,-33.31805,-59.96722,0,0,Alto
JST,JST-RAW-75901059-23,2023-07-01T15:30:00,2023-07-01,1530,,,San Nicolás de Los Arroyos,Buenos Aires,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Pleasure / Otros | San Nicolás de Los Arroyos, Buenos Aires",ARC (Abnormal runway contact),Pista,,LV-IAP,,,,,,-33.39083,-60.19527,0,0,Alto
JST,JST-RAW-82756806-23,2023-07-14T17:00:00,2023-07-14,1700,,,Corrientes,Corrientes,Rodaje,"Incidente | GCOL (Ground Collision) | Non-Commercial Operations / Pleasure / Otros, Commercial Air Transport / Scheduled / Airline (domestic) | Corrientes, Corrientes",GCOL (Ground Collision),Operacion,,"LV-AXM, LV-KCE",,,,,,-27.445,-58.76166,0,0,Alto
JST,JST-RAW-82761122-23,2023-07-15T19:00:00,2023-07-15,1900,,,Rio Tercero,Cordoba,Rodaje,"Incidente | GCOL (Ground Collision) | Non-Commercial Operations / Pleasure / Otros | Rio Tercero, Cordoba",GCOL (Ground Collision),Operacion,,LV-FQS,,,,,,-32.17277,-64.08833,0,0,Alto
