event_code,mapped_in_catalog,unknown_in_catalog,source_record_id,categoria_incidente,fase_vuelo,nivel_riesgo,mapping_rule_source
BIRD,True,False,JST-RAW-99215439-21,Fauna,Aterrizaje,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-105094269-21,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
F-NI,True,False,JST-RAW-102726258-21,Seguridad operacional,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-105110377-21,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-105107497-21,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
AMAN,True,False,JST-RAW-105099341-21,Operacion,Despegue,Critico,tabla_jst_event_code_mapping
CTOL,True,False,JST-RAW-105099341-21,Operacion,Despegue,Critico,tabla_jst_event_code_mapping
AMAN,True,False,JST-RAW-105559269-21,Operacion,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-107714093-21,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-108963100-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
CFIT,True,False,JST-RAW-109328996-21,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
LOLI,True,False,JST-RAW-109328996-21,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-29824857-24,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-29824857-24,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-29824857-24,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-112293404-21,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
USOS,True,False,JST-RAW-113471705-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-119929779-21,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-6658234-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
EXTL,True,False,JST-RAW-126611445-21,Operacion,En vuelo,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-35544821-23,Seguridad operacional,Rodaje,Alto,tabla_jst_event_code_mapping
RAMP,True,False,JST-RAW-35544821-23,Seguridad operacional,Rodaje,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-16106876-24,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
BIRD,True,False,JST-RAW-6496349-22,Fauna,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-22353426-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-70693621-24,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-25677952-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-24983343-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-24983343-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-26584049-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-35178584-22,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-36953095-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-49951658-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-44739297-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-47591895-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-53119193-22,Operacion,Rodaje,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-50053689-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-58320078-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-59370193-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-61313032-22,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-66227559-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-66817513-22,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-66817513-22,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-68409960-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
